"","Code_postal","REGION","CP"
"1",80140,"Picardie",80
"2",80290,"Picardie",80
"3",80130,"Picardie",80
"4",80440,"Picardie",80
"5",80680,"Picardie",80
"6",80700,"Picardie",80
"7",80540,"Picardie",80
"8",80170,"Picardie",80
"9",80800,"Picardie",80
"10",80560,"Picardie",80
"11",80690,"Picardie",80
"12",80160,"Picardie",80
"13",80320,"Picardie",80
"14",80390,"Picardie",80
"15",78490,"Ile_de_France",78
"16",78980,"Ile_de_France",78
"17",78360,"Ile_de_France",78
"18",78790,"Ile_de_France",78
"19",78410,"Ile_de_France",78
"20",78730,"Ile_de_France",78
"21",78440,"Ile_de_France",78
"22",78560,"Ile_de_France",78
"23",78940,"Ile_de_France",78
"24",78550,"Ile_de_France",78
"25",78150,"Ile_de_France",78
"26",78270,"Ile_de_France",78
"27",78790,"Ile_de_France",78
"28",78710,"Ile_de_France",78
"29",78210,"Ile_de_France",78
"30",78640,"Ile_de_France",78
"31",78860,"Ile_de_France",78
"32",78690,"Ile_de_France",78
"33",78770,"Ile_de_France",78
"34",79230,"Poitou_Charente",79
"35",79150,"Poitou_Charente",79
"36",79300,"Poitou_Charente",79
"37",79290,"Poitou_Charente",79
"38",79370,"Poitou_Charente",79
"39",79130,"Poitou_Charente",79
"40",79110,"Poitou_Charente",79
"41",79290,"Poitou_Charente",79
"42",79190,"Poitou_Charente",79
"43",79370,"Poitou_Charente",79
"44",79500,"Poitou_Charente",79
"45",76240,"Normandie",76
"46",76190,"Normandie",76
"47",76790,"Normandie",76
"48",76450,"Normandie",76
"49",76740,"Normandie",76
"50",76730,"Normandie",76
"51",76750,"Normandie",76
"52",76260,"Normandie",76
"53",76930,"Normandie",76
"54",76740,"Normandie",76
"55",76660,"Normandie",76
"56",76220,"Normandie",76
"57",76160,"Normandie",76
"58",80140,"Picardie",80
"59",80140,"Picardie",80
"60",80340,"Picardie",80
"61",80490,"Picardie",80
"62",80300,"Picardie",80
"63",80250,"Picardie",80
"64",80360,"Picardie",80
"65",80400,"Picardie",80
"66",80200,"Picardie",80
"67",80640,"Picardie",80
"68",80640,"Picardie",80
"69",80640,"Picardie",80
"70",80600,"Picardie",80
"71",80270,"Picardie",80
"72",80290,"Picardie",80
"73",80360,"Picardie",80
"74",80580,"Picardie",80
"75",80600,"Picardie",80
"76",80560,"Picardie",80
"77",80370,"Picardie",80
"78",80300,"Picardie",80
"79",80700,"Picardie",80
"80",80500,"Picardie",80
"81",80700,"Picardie",80
"82",80400,"Picardie",80
"83",80290,"Picardie",80
"84",80640,"Picardie",80
"85",80360,"Picardie",80
"86",80135,"Picardie",80
"87",80540,"Picardie",80
"88",80160,"Picardie",80
"89",80540,"Picardie",80
"90",80670,"Picardie",80
"91",80290,"Picardie",80
"92",80140,"Picardie",80
"93",80120,"Picardie",80
"94",80290,"Picardie",80
"95",80290,"Picardie",80
"96",80260,"Picardie",80
"97",80150,"Picardie",80
"98",80600,"Picardie",80
"99",80310,"Picardie",80
"100",80500,"Picardie",80
"101",1400,"Rhone_Alpes",1
"102",1300,"Rhone_Alpes",1
"103",1480,"Rhone_Alpes",1
"104",1340,"Rhone_Alpes",1
"105",1270,"Rhone_Alpes",1
"106",1360,"Rhone_Alpes",1
"107",1330,"Rhone_Alpes",1
"108",1450,"Rhone_Alpes",1
"109",1330,"Rhone_Alpes",1
"110",1800,"Rhone_Alpes",1
"111",1640,"Rhone_Alpes",1
"112",1260,"Rhone_Alpes",1
"113",1250,"Rhone_Alpes",1
"114",1480,"Rhone_Alpes",1
"115",1260,"Rhone_Alpes",1
"116",1410,"Rhone_Alpes",1
"117",1800,"Rhone_Alpes",1
"118",1300,"Rhone_Alpes",1
"119",1550,"Rhone_Alpes",1
"120",1300,"Rhone_Alpes",1
"121",1310,"Rhone_Alpes",1
"122",1750,"Rhone_Alpes",1
"123",1380,"Rhone_Alpes",1
"124",1240,"Rhone_Alpes",1
"125",1400,"Rhone_Alpes",1
"126",1160,"Rhone_Alpes",1
"127",1480,"Rhone_Alpes",1
"128",1350,"Rhone_Alpes",1
"129",1090,"Rhone_Alpes",1
"130",1090,"Rhone_Alpes",1
"131",1170,"Rhone_Alpes",1
"132",1190,"Rhone_Alpes",1
"133",1260,"Rhone_Alpes",1
"134",1260,"Rhone_Alpes",1
"135",1340,"Rhone_Alpes",1
"136",1250,"Rhone_Alpes",1
"137",1200,"Rhone_Alpes",1
"138",1240,"Rhone_Alpes",1
"139",1680,"Rhone_Alpes",1
"140",1090,"Rhone_Alpes",1
"141",1340,"Rhone_Alpes",1
"142",1580,"Rhone_Alpes",1
"143",1580,"Rhone_Alpes",1
"144",1480,"Rhone_Alpes",1
